0,1,2,3,4,5,6,7
96.0,48.0,64.0,0,143,3003,154,1
56.0,56.0,64.0,0,144,3004,154,1
64.0,64.0,64.0,0,145,3003,154,1
96.0,64.0,64.0,0,146,3003,154,1
56.0,72.0,64.0,1,147,3005,154,1
56.0,152.0,64.0,0,148,3004,154,1
64.0,152.0,64.0,0,149,3003,154,1
96.0,152.0,64.0,0,150,3003,154,1
56.0,168.0,64.0,1,151,3005,154,1
64.0,168.0,64.0,1,152,3004,154,1
96.0,168.0,64.0,1,153,3004,154,1
56.0,48.0,67.2,1,154,3024,154,1
56.0,48.0,70.4,1,155,3024,154,1
88.0,64.0,70.4,1,156,3024,154,1
56.0,48.0,73.60000000000001,0,157,3003,154,1
72.0,48.0,73.60000000000001,0,158,3004,154,1
96.0,48.0,73.60000000000001,1,159,3004,154,1
88.0,56.0,73.60000000000001,0,160,3004,154,1
96.0,56.0,73.60000000000001,1,161,3024,154,1
104.0,56.0,73.60000000000001,0,162,3004,154,1
56.0,64.0,73.60000000000001,1,163,3005,154,1
64.0,64.0,73.60000000000001,1,164,3024,26,1
72.0,64.0,73.60000000000001,1,165,3005,154,1
96.0,64.0,73.60000000000001,0,166,3004,154,1
64.0,72.0,73.60000000000001,1,167,3005,154,1
72.0,72.0,73.60000000000001,1,168,3024,154,1
104.0,72.0,73.60000000000001,1,169,3005,154,1
56.0,152.0,73.60000000000001,0,170,3003,154,1
72.0,152.0,73.60000000000001,0,171,3004,154,1
96.0,152.0,73.60000000000001,0,172,3003,154,1
56.0,168.0,73.60000000000001,1,173,3004,154,1
72.0,168.0,73.60000000000001,1,174,3005,154,1
96.0,168.0,73.60000000000001,1,175,3004,154,1
88.0,48.0,76.80000000000001,1,176,3024,154,1
96.0,56.0,76.80000000000001,1,177,3024,26,1
64.0,64.0,76.80000000000001,1,178,3024,154,1
88.0,48.0,80.0,1,179,3024,154,1
96.0,56.0,80.0,1,180,3024,26,1
64.0,64.0,80.0,1,181,3024,154,1
56.0,48.0,83.2,1,182,3004,154,1
72.0,48.0,83.2,1,183,3005,154,1
88.0,48.0,83.2,1,184,3004,154,1
104.0,48.0,83.2,1,185,3005,154,1
56.0,56.0,83.2,0,186,3003,154,1
72.0,56.0,83.2,0,187,3004,154,1
88.0,56.0,83.2,0,188,3003,154,1
104.0,56.0,83.2,0,189,3004,154,1
64.0,72.0,83.2,1,190,3024,154,1
96.0,72.0,83.2,1,191,3024,154,1
56.0,152.0,83.2,1,192,3004,154,1
72.0,152.0,83.2,1,193,3005,154,1
96.0,152.0,83.2,1,194,3004,154,1
56.0,160.0,83.2,0,195,3003,154,1
72.0,160.0,83.2,0,196,3004,154,1
96.0,160.0,83.2,0,197,3003,154,1
56.0,48.0,92.80000000000001,1,198,3005,154,1
64.0,48.0,92.80000000000001,1,199,3004,154,1
88.0,48.0,92.80000000000001,1,200,3005,154,1
96.0,48.0,92.80000000000001,1,201,3004,154,1
56.0,56.0,92.80000000000001,0,202,3004,154,1
64.0,56.0,92.80000000000001,0,203,3003,154,1
88.0,56.0,92.80000000000001,0,204,3004,154,1
96.0,56.0,92.80000000000001,0,205,3003,154,1
56.0,152.0,92.80000000000001,1,206,3005,154,1
64.0,152.0,92.80000000000001,1,207,3004,154,1
96.0,152.0,92.80000000000001,1,208,3004,154,1
56.0,160.0,92.80000000000001,0,209,3004,154,1
64.0,160.0,92.80000000000001,0,210,3003,154,1
96.0,160.0,92.80000000000001,0,211,3003,154,1
112.0,56.0,99.2,0,212,3023,154,1
64.0,72.0,99.2,1,213,3024,154,1
96.0,72.0,99.2,1,214,3023,154,1
64.0,40.0,102.4,1,215,3005,154,1
96.0,40.0,102.4,1,216,3005,154,1
56.0,48.0,102.4,0,217,3004,154,1
64.0,48.0,102.4,0,218,3003,154,1
88.0,48.0,102.4,0,219,3004,154,1
96.0,48.0,102.4,1,220,3004,154,1
96.0,56.0,102.4,1,221,3005,26,1
104.0,56.0,102.4,0,222,3003,154,1
56.0,64.0,102.4,0,223,3004,154,1
64.0,64.0,102.4,0,224,3003,154,1
88.0,64.0,102.4,1,225,3005,154,1
96.0,64.0,102.4,1,226,3024,154,1
96.0,72.0,102.4,1,227,3004,154,1
56.0,152.0,102.4,0,228,3004,154,1
64.0,152.0,102.4,0,229,3003,154,1
96.0,152.0,102.4,0,230,3003,154,1
56.0,168.0,102.4,1,231,3024,154,1
64.0,168.0,102.4,1,232,3004,154,1
96.0,168.0,102.4,1,233,3004,154,1
72.0,40.0,105.60000000000001,1,234,3024,154,1
96.0,64.0,105.60000000000001,1,235,3024,26,1
88.0,72.0,105.60000000000001,1,236,3024,154,1
56.0,168.0,105.60000000000001,1,237,3024,154,1
72.0,40.0,108.80000000000001,1,238,3024,154,1
104.0,40.0,108.80000000000001,1,239,3024,154,1
96.0,64.0,108.80000000000001,1,240,3024,26,1
88.0,72.0,108.80000000000001,1,241,3024,154,1
64.0,40.0,112.0,0,242,3003,154,1
96.0,40.0,112.0,1,243,3004,154,1
56.0,48.0,112.0,0,244,3004,154,1
88.0,48.0,112.0,0,245,3004,154,1
96.0,48.0,112.0,1,246,3024,154,1
104.0,48.0,112.0,1,247,3005,154,1
64.0,56.0,112.0,0,248,3003,154,1
96.0,56.0,112.0,1,249,3005,26,1
104.0,56.0,112.0,1,250,3024,154,1
112.0,56.0,112.0,0,251,3004,154,1
56.0,64.0,112.0,0,252,3004,154,1
88.0,64.0,112.0,1,253,3004,154,1
104.0,64.0,112.0,1,254,3005,26,1
64.0,72.0,112.0,0,255,3023,154,1
72.0,72.0,112.0,0,256,3004,154,1
88.0,72.0,112.0,1,257,3005,154,1
96.0,72.0,112.0,1,258,3023,154,1
112.0,72.0,112.0,1,259,3005,154,1
56.0,80.0,112.0,1,260,3005,154,1
96.0,80.0,112.0,1,261,3004,154,1
56.0,152.0,112.0,0,262,3003,154,1
72.0,152.0,112.0,0,263,3004,154,1
96.0,152.0,112.0,0,264,3003,154,1
64.0,168.0,112.0,1,265,3004,154,1
96.0,168.0,112.0,1,266,3004,154,1
88.0,40.0,115.2,1,267,3024,154,1
96.0,48.0,115.2,1,268,3024,26,1
112.0,48.0,115.2,1,269,3024,154,1
104.0,56.0,115.2,1,270,3024,26,1
64.0,72.0,115.2,0,271,3023,154,1
96.0,72.0,115.2,1,272,3023,154,1
88.0,80.0,115.2,1,273,3024,154,1
64.0,88.0,115.2,1,274,3023,154,1
96.0,88.0,115.2,1,275,3023,154,1
56.0,168.0,115.2,1,276,3024,154,1
88.0,40.0,118.4,1,277,3024,154,1
96.0,48.0,118.4,1,278,3024,26,1
112.0,48.0,118.4,1,279,3024,154,1
104.0,56.0,118.4,1,280,3024,26,1
64.0,72.0,118.4,0,281,3023,26,1
96.0,72.0,118.4,1,282,3023,26,1
88.0,80.0,118.4,0,283,3023,154,1
112.0,80.0,118.4,1,284,3024,154,1
56.0,88.0,118.4,1,285,3024,154,1
64.0,88.0,118.4,0,286,3023,154,1
72.0,88.0,118.4,1,287,3024,154,1
96.0,88.0,118.4,0,288,3023,154,1
104.0,88.0,118.4,1,289,3024,154,1
64.0,144.0,118.4,1,290,3024,154,1
96.0,144.0,118.4,1,291,3023,154,1
112.0,152.0,118.4,1,292,3024,154,1
56.0,168.0,118.4,1,293,3024,154,1
64.0,40.0,121.60000000000001,1,294,3004,154,1
88.0,40.0,121.60000000000001,1,295,3024,154,1
96.0,40.0,121.60000000000001,1,296,3004,154,1
56.0,48.0,121.60000000000001,0,297,3003,154,1
72.0,48.0,121.60000000000001,1,298,3005,154,1
88.0,48.0,121.60000000000001,1,299,3004,154,1
104.0,48.0,121.60000000000001,1,300,3005,154,1
112.0,48.0,121.60000000000001,1,301,3024,154,1
72.0,56.0,121.60000000000001,0,302,3004,154,1
88.0,56.0,121.60000000000001,0,303,3003,154,1
104.0,56.0,121.60000000000001,1,304,3024,26,1
112.0,56.0,121.60000000000001,1,305,3005,154,1
56.0,64.0,121.60000000000001,0,306,3003,154,1
104.0,64.0,121.60000000000001,0,307,3003,154,1
72.0,72.0,121.60000000000001,0,308,3004,154,1
88.0,72.0,121.60000000000001,0,309,3003,154,1
56.0,80.0,121.60000000000001,1,310,3024,154,1
64.0,80.0,121.60000000000001,1,311,3005,26,1
104.0,80.0,121.60000000000001,1,312,3005,26,1
112.0,80.0,121.60000000000001,0,313,3004,154,1
