brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
142,2024-05-22 14:13:04,2024-05-22 14:15:12,2,1,2024-05-22 14:15:26,KPI_DATA_build_20240522_130513.csv
143,2024-05-22 14:15:26,2024-05-22 14:19:08,4,2,2024-05-22 14:19:21,KPI_DATA_build_20240522_130513.csv
144,2024-05-22 14:19:21,2024-05-22 14:19:39,1,0,2024-05-22 14:19:52,KPI_DATA_build_20240522_130513.csv
145,2024-05-22 14:19:52,2024-05-22 14:20:29,1,0,2024-05-22 14:20:42,KPI_DATA_build_20240522_130513.csv
146,2024-05-22 14:20:42,2024-05-22 14:21:10,2,0,2024-05-22 14:21:23,KPI_DATA_build_20240522_130513.csv
147,2024-05-22 14:21:23,2024-05-22 14:25:00,3,2,2024-05-22 14:25:13,KPI_DATA_build_20240522_130513.csv
148,2024-05-22 14:25:13,2024-05-22 14:36:59,13,6,2024-05-22 14:37:13,KPI_DATA_build_20240522_130513.csv
149,2024-05-22 14:37:13,2024-05-22 14:38:53,1,1,2024-05-22 14:39:06,KPI_DATA_build_20240522_130513.csv
150,2024-05-22 14:39:06,2024-05-22 14:39:32,2,0,2024-05-22 14:39:45,KPI_DATA_build_20240522_130513.csv
151,2024-05-22 14:39:45,2024-05-22 14:40:00,1,0,2024-05-22 14:40:13,KPI_DATA_build_20240522_130513.csv
152,2024-05-22 14:40:13,2024-05-22 14:43:07,2,1,2024-05-22 14:43:20,KPI_DATA_build_20240522_130513.csv
153,2024-05-22 14:43:20,2024-05-22 14:47:05,3,0,2024-05-22 14:47:18,KPI_DATA_build_20240522_130513.csv
154,2024-05-22 14:47:18,2024-05-22 14:48:58,1,1,2024-05-22 14:49:11,KPI_DATA_build_20240522_130513.csv
155,2024-05-22 14:49:11,2024-05-22 14:49:27,1,0,2024-05-22 14:49:40,KPI_DATA_build_20240522_130513.csv
156,2024-05-23 09:32:03,2024-05-23 09:33:16,1,0,2024-05-23 09:33:31,KPI_DATA_build_20240523_093159.csv
